영화 대표코드,영화명,(해당일) 누적관객수
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,(20180929) 151054
20189268,루이스,(20180929) 89501
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,(20180929) 42980
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,(20180929) 35688
20156554,물괴,(20180922) 702096
20153446,너의 결혼식,(20180922) 2812226
20188581,더 프레데터,(20180922) 169814
20189362,업그레이드,(20180915) 178153
20177537,상류사회,(20180915) 760945
20181942,맘마미아!2,(20180915) 2280120
20186202,신과함께-인과 연,(20180915) 12264813
20179101,공작,(20180915) 4968325
20170670,목격자,(20180908) 2512159
20189261,어드리프트:우리가 함께한 바다,(20180908) 41977
20187647,나를 차버린 스파이,(20180908) 258016
20181181,미션 임파서블: 폴아웃,(20180901) 6567099
20139221,그래비티,(20180901) 3262924
20184802,몬스터 호텔 3,(20180825) 1023630
20183584,메가로돈,(20180825) 515536
20187657,마일22,(20180825) 51350
20187641,극장판 도라에몽: 진구의 보물섬,(20180818) 138640
20187427,명탐정 코난 : 제로의 집행인,(20180818) 377257
20186501,극장판 헬로카봇 : 백악기 시대,(20180818) 854230
20183361,인크레더블 2,(20180811) 2998015
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,(20180811) 667879
20186121,어느 가족,(20180811) 123887
20170942,인랑,(20180804) 891308
20180522,앤트맨과 와스프,(20180804) 5444801
20185341,마녀,(20180804) 3188405
20181443,스카이스크래퍼,(20180728) 999978
20188042,독전: 익스텐디드 컷,(20180728) 136885
20186001,신은 죽지 않았다 3: 어둠 속의 빛,(20180728) 63047
